tradeDt,coach,out,in,team
2022-03-24,Marcus,Oscar Allen,Josh Rachele,Adelaide
2022-03-24,Thomas,Cameron Zurhaar,Izak Rankine,Gold Coast
2022-03-24,Thomas,Jeremy Finlayson,Mitch Hannan,Footscray
2022-03-24,Michael H,Riley Thilthorpe,Lachlan Schultz,Fremantle
2022-03-24,Michael H,Eric Hipwood,Tyson Stengle,Geelong
2022-03-24,Stuart,Bailey Smith,Luke Parker,Sydney
2022-03-24,Lachlan,Cooper Sharman,Jack Hayes,St Kilda
2022-03-31,Marcus,GWS,Fremantle,
2022-03-31,Chantel,Dustin Martin,Jack Silvagni,Carlton
2022-03-31,Thomas,Jack Riewoldt,Nic Martin,Essendon
2022-03-31,Michael H,Lachlan Schultz,Mitch Lewis,Hawthorn
2022-03-31,Lachlan,Jake Riccardi,Noah Balta,Richmond
2022-04-07,Thomas,Geelong,Hawthorn,
2022-04-07,Thomas,Mitch Hannan,Levi Casboult,Gold Coast
2022-04-07,Marcus,Robbie Gray,Brad Close,Geelong
2022-04-07,Michael H,Liam Ryan,Taylor Walker,Adelaide
2022-04-07,Cath,Charlie Dixon,Shai Bolton,Richmond
2022-04-14,Stuart,Jack Lukosius,Robbie Gray,Port Adelaide
2022-04-14,Michael H,Tyson Stengle,Liam Ryan,West Coast
2022-04-22,Marcus,Brad Close,Cameron Zurhaar,North Melbourne
2022-04-22,Lachlan,Jack Hayes,Jack Higgins,St Kilda
2022-04-22,Thomas,Jack Darling,Elliott Himmelberg,Adelaide
2022-04-22,Thomas,Kysaiah Pickett,Dylan Moore,Hawthorn
2022-04-29,Thomas,Hawthorn,St Kilda,
2022-04-29,Thomas,Izak Rankine,Rory Lobb,Fremantle
2022-04-29,Peter,Jamie Elliott,Jack Ginnivan,Collingwood
2022-04-29,Stuart,Luke Parker,Tyson Stengle,Geelong
2022-05-06,Chantel,Richmond,Hawthorn,
2022-05-13,Chantel,Jack Silvagni,Eric Hipwood,Brisbane Lions
2022-05-13,Cath,Christian Petracca,Mabior Chol,Gold Coast
2022-05-13,Cath,Cody Weightman,Todd Marshall,Port Adelaide
2022-05-13,Thomas,Elliott Himmelberg,Jack Riewoldt,Richmond
2022-05-13,Lachlan,Noah Balta,Jacob Koschitzke,Hawthorn
2022-05-20,Chantel,Hawthorn,Richmond,
2022-05-20,Chantel,Jack Gunston,Jack Silvagni,Carlton
2022-05-27,Thomas,Nic Martin,Cody Weightman,Footscray
2022-05-27,Michael H,Liam Ryan,Charlie Dixon,Port Adelaide
2022-06-03,Marcus,Cameron Zurhaar,Jack Darling,West Coast
2022-06-03,Chantel,Jack Silvagni,Jack Gunston,Hawthorn
2022-06-03,Chantel,Richmond,Gold Coast,
2022-06-09,Chantel,Mitch Georgiades,Dustin Martin,Richmond
2022-06-09,Stuart,Tom McDonald,Jeremy Finlayson,Port Adelaide
2022-06-09,Stuart,Robbie Gray,Matthew Owies,Carlton
2022-06-23,Chantel,Jordan De Goey,Mitch Georgiades,Port Adelaide
2022-06-23,Thomas,Cody Weightman,Shane McAdam,Adelaide
2022-06-30,Stuart,Matthew Owies,Patrick Dangerfield,Geelong
2022-06-30,Thomas,Shane McAdam,Jordan De Goey,Collingwood
2022-07-07,Stuart,Jeremy Finlayson,Izak Rankine,Gold Coast
2022-07-15,Michael H,Footscray,Geelong,
2022-07-15,Chantel,Dustin Martin,Josh Bruce,Footscray
2022-07-15,Marcus,Josh Rachele,Lachie Schultz,Fremantle
2022-07-15,Lachlan,Jacob Koschitzke,Cody Weightman,Footscray
2022-07-29,Marcus,Ben Brown,Will Hayward,Sydney
2022-08-05,Marcus,Will Hayward,Cameron Zurhaar,North Melbourne
2022-08-05,Chantel,Mitch Georgiades,Jamarra Ugle-Hagan,Footscray
2022-08-05,Cath,Todd Marshall,Ben Brown,Melbourne
2022-08-05,Stuart,Patrick Dangerfield,Kysaiah Pickett,Melbourne
2022-08-12,Lachlan,Matt Taberner,Todd Marshall,Port Adelaide
2022-08-12,Chantel,Josh Bruce,Mitch Georgiades,Port Adelaide
