tradeDt,coach,out,in,team
2021-03-25,Thomas,Mitch Lewis,Orazio Fantasia,Port Adelaide
2021-03-25,Thomas,Jake Stringer,Sam Reid,Sydney
2021-03-25,Chantel,Marcus Bontempelli,Isaac Heeney,Sydney
2021-03-25,Michael,Ben Brown,Tom McDonald,Melbourne
2021-03-25,Lachie,Nick Larkey,Lance Franklin,Sydney
2021-04-01,Chantel,Marc Murphy,Josh Bruce,Footscray
2021-04-01,Peter,Cam Rayner,Shane McAdam,Adelaide
2021-04-01,Marcus,Jack Martin,Michael Gibbons,Carlton
2021-04-01,Cath,Jamie Cripps,Logan McDonald,Sydney
2021-04-01,Cath,Gary Rohan,Marcus Bontempelli,Footscray
2021-04-08,Michael,St Kilda,Footscray,
2021-04-08,Thomas,Sam Reid,Cale Hooker,Essendon
2021-04-08,Stuart,Zac Fisher,Kysaiah Pickett,Melbourne
2021-04-08,Stuart,Jeremy Finlayson,Jack Higgins,St Kilda
2021-04-08,Lachie,Dan Butler,Mitch Georgiades,Port Adelaide
