Draft,Name,Team,Forward
,Sam Berry,Adelaide,*
,Hugh Bond,Adelaide,
,James Borlase,Adelaide,
,Jordon Butts,Adelaide,
,Brayden Cook,Adelaide,
,Matt Crouch,Adelaide,
,Jordan Dawson,Adelaide,
,Tom Doedee,Adelaide,
,Billy Dowling,Adelaide,
,Darcy Fogarty,Adelaide,*
,Lachlan Gollant,Adelaide,*
,Will Hamill,Adelaide,
,Jackson Hately,Adelaide,
,Elliott Himmelberg,Adelaide,*
,Mitchell Hinge,Adelaide,
,Chayce Jones,Adelaide,
,Ben Keays,Adelaide,
,Rory Laird,Adelaide,
,Shane McAdam,Adelaide,*
,Ned McHenry,Adelaide,*
,Andrew McPherson,Adelaide,
,Max Michalanney,Adelaide,
,Wayne Milera,Adelaide,
,Lachlan Murphy,Adelaide,*
,Nick Murray,Adelaide,
,Luke Nankervis,Adelaide,*
,Tariek Newchurch,Adelaide,*
,Reilly O'Brien,Adelaide,
,Patrick Parnell,Adelaide,
,Luke Pedlar,Adelaide,*
,Josh Rachele,Adelaide,*
,Izak Rankine,Adelaide,*
,Harry Schoenberg,Adelaide,
,Paul Seedsman,Adelaide,
,Lachlan Sholl,Adelaide,
,Rory Sloane,Adelaide,
,Brodie Smith,Adelaide,
,Jake Soligo,Adelaide,
,Kieran Strachan,Adelaide,
,Zac Taylor,Adelaide,
,Riley Thilthorpe,Adelaide,*
,Taylor Walker,Adelaide,*
,Josh Worrell,Adelaide,
,Marcus Adams,Brisbane Lions,
,Callum Ah Chee,Brisbane Lions,
,Harris Andrews,Brisbane Lions,
,Noah Answerth,Brisbane Lions,
,Will Ashcroft,Brisbane Lions,
,Zac Bailey,Brisbane Lions,*
,Jarrod Berry,Brisbane Lions,
,Shadeau Brain,Brisbane Lions,*
,Charlie Cameron,Brisbane Lions,*
,Nakia Cockatoo,Brisbane Lions,*
,Blake Coleman,Brisbane Lions,*
,Keidean Coleman,Brisbane Lions,*
,Joe Daniher,Brisbane Lions,*
,Josh Dunkley,Brisbane Lions,*
,Jaspa Fletcher,Brisbane Lions,
,Darcy Fort,Brisbane Lions,*
,Tom Fullarton,Brisbane Lions,*
,Darcy Gardiner,Brisbane Lions,
,Jack Gunston,Brisbane Lions,*
,Eric Hipwood,Brisbane Lions,*
,Kalin Lane,Brisbane Lions,
,Ryan Lester,Brisbane Lions,
,Kai Lohmann,Brisbane Lions,*
,Jarryd Lyons,Brisbane Lions,
,James Madden,Brisbane Lions,
,Rhys Mathieson,Brisbane Lions,
,Lincoln McCarthy,Brisbane Lions,*
,Hugh McCluggage,Brisbane Lions,
,Daryl McDowell-White,Brisbane Lions,
,Oscar McInerney,Brisbane Lions,
,Conor McKenna,Brisbane Lions,
,Carter Michael,Brisbane Lions,
,Lachie Neale,Brisbane Lions,
,Jack Payne,Brisbane Lions,
,Jaxon Prior,Brisbane Lions,
,Cameron Rayner,Brisbane Lions,*
,Daniel Rich,Brisbane Lions,
,Deven Robertson,Brisbane Lions,
,Harry Sharp,Brisbane Lions,
,Henry Smith,Brisbane Lions,*
,Brandon Starcevich,Brisbane Lions,
,James Tunstill,Brisbane Lions,
,Darcy Wilmot,Brisbane Lions,
,Dayne Zorko,Brisbane Lions,
,Blake Acres,Carlton,
,Domanic Akuei,Carlton,
,Jaxon Binns,Carlton,
,Jordan Boyd,Carlton,
,Jack Carroll,Carlton,
,Adam Cerra,Carlton,
,Matt Cottrell,Carlton,*
,Lachlan Cowan,Carlton,
,Patrick Cripps,Carlton,
,David Cuningham,Carlton,*
,Charlie Curnow,Carlton,*
,Edward Curnow,Carlton,
,Tom De Koning,Carlton,*
,Sam Docherty,Carlton,
,Paddy Dow,Carlton,
,Corey Durdin,Carlton,*
,Sam Durdin,Carlton,
,Zac Fisher,Carlton,*
,Lachlan Fogarty,Carlton,*
,George Hewett,Carlton,
,Oliver Hollands,Carlton,
,Josh Honey,Carlton,*
,Brodie Kemp,Carlton,
,Matthew Kennedy,Carlton,
,Harry Lemmey,Carlton,
,Caleb Marchbank,Carlton,
,Jack Martin,Carlton,*
,Mitch McGovern,Carlton,*
,Harry McKay,Carlton,*
,Alex Mirkov,Carlton,
,Jesse Motlop,Carlton,*
,Nic Newman,Carlton,
,Lochie O'Brien,Carlton,
,Matt Owies,Carlton,*
,Sam Philp,Carlton,*
,Marc Pittonet,Carlton,
,Lachlan Plowman,Carlton,
,Adam Saad,Carlton,
,Jack Silvagni,Carlton,*
,Sam Walsh,Carlton,
,Jacob Weitering,Carlton,
,Zachary Williams,Carlton,
,Lewis Young,Carlton,
,Taylor Adams,Collingwood,
,Edward Allan,Collingwood,
,Aiden Begg,Collingwood,
,Trent Bianco,Collingwood,*
,Darcy Cameron,Collingwood,*
,Josh Carmichael,Collingwood,*
,Mason Cox,Collingwood,*
,Jack Crisp,Collingwood,
,Josh Daicos,Collingwood,
,Nick Daicos,Collingwood,
,Jordan De Goey,Collingwood,*
,Charlie Dean,Collingwood,
,Arlo Draper,Collingwood,
,Jamie Elliott,Collingwood,*
,Billy Frampton,Collingwood,*
,Jack Ginnivan,Collingwood,*
,Harvey Harrison,Collingwood,
,Bobby Hill,Collingwood,*
,Will Hoskin-Elliott,Collingwood,*
,Jeremy Howe,Collingwood,
,Ash Johnson,Collingwood,*
,Will Kelly,Collingwood,*
,Nathan Kreuger,Collingwood,
,Patrick Lipinski,Collingwood,*
,Finlay Macrae,Collingwood,
,Brayden Maynard,Collingwood,
,Beau McCreery,Collingwood,*
,Reef McInnes,Collingwood,
,Daniel McStay,Collingwood,*
,Brody Mihocek,Collingwood,*
,Tom Mitchell,Collingwood,
,Darcy Moore,Collingwood,
,Cooper Murley,Collingwood,*
,Nathan Murphy,Collingwood,
,John Noble,Collingwood,
,Scott Pendlebury,Collingwood,
,Isaac Quaynor,Collingwood,
,Joe Richards,Collingwood,
,Trey Ruscoe,Collingwood,
,Jakob Ryan,Collingwood,
,Steele Sidebottom,Collingwood,*
,Tom Wilson,Collingwood,
,Kaine Baldwin,Essendon,*
,Nick Bryan,Essendon,
,Jye Caldwell,Essendon,
,Nikolas Cox,Essendon,
,Massimo D'Ambrosio,Essendon,
,Alwyn Davey,Essendon,
,Jayden Davey,Essendon,
,Sam Draper,Essendon,
,Sam Durham,Essendon,*
,Matt Guelfi,Essendon,*
,Lewis Hayes,Essendon,
,Dyson Heppell,Essendon,
,Nick Hind,Essendon,
,Ben Hobbs,Essendon,*
,Harrison Jones,Essendon,*
,Jake Kelly,Essendon,
,Kyle Langford,Essendon,
,Jayden Laverde,Essendon,
,Alastair Lord,Essendon,
,Nicholas Martin,Essendon,*
,Cian McBride,Essendon,*
,Anthony McDonald-Tipungwuti,Essendon,*
