"Player","gamesPlayed","goalsScored","goalsPerGame"
"Charlie Curnow",26,81,3.11538461538462
"Taylor Walker",22,76,3.45454545454545
"Nick Larkey",23,71,3.08695652173913
"Toby Greene",24,66,2.75
"Joe Daniher",26,61,2.34615384615385
"Charlie Cameron",26,59,2.26923076923077
"Jeremy Cameron",20,53,2.65
"Oscar Allen",23,53,2.30434782608696
"Kyle Langford",23,51,2.21739130434783
"Jesse Hogan",23,49,2.1304347826087
"Tom Hawkins",20,49,2.45
"Luke Breust",21,47,2.23809523809524
"Brody Mihocek",23,44,1.91304347826087
"Aaron Naughton",23,44,1.91304347826087
"Eric Hipwood",26,41,1.57692307692308
"Jye Amiss",21,40,1.9047619047619
"Ben King",20,40,2
"Jamie Elliott",24,39,1.625
"Oliver Henry",21,39,1.85714285714286
"Jack Lukosius",22,39,1.77272727272727
"Bayley Fritsch",17,38,2.23529411764706
"Jeremy Finlayson",22,38,1.72727272727273
"Kysaiah Pickett",23,37,1.60869565217391
"Tom Papley",23,37,1.60869565217391
"Izak Rankine",20,36,1.8
"Mitchell Lewis",15,36,2.4
"Todd Marshall",20,36,1.8
"Jack Higgins",22,36,1.63636363636364
"Jake Riccardi",21,35,1.66666666666667
"Jamarra U-Hagan",23,35,1.52173913043478
"Darcy Fogarty",21,34,1.61904761904762
"Cody Weightman",19,34,1.78947368421053
"Bobby Hill",24,33,1.375
"Lachlan Schultz",23,33,1.43478260869565
"Daniel Butler",23,33,1.43478260869565
"Jack Riewoldt",21,32,1.52380952380952
"Logan McDonald",20,32,1.6
"Michael Walters",19,31,1.63157894736842
"Willie Rioli",19,31,1.63157894736842
"Shai Bolton",23,31,1.34782608695652
"Sam P-Pepper",24,30,1.25
"Isaac Heeney",23,30,1.30434782608696
"Zac Bailey",24,29,1.20833333333333
"Harry McKay",21,29,1.38095238095238
"Lincoln McCarthy",24,28,1.16666666666667
"Christian Petracca",25,28,1.12
"Jacob Van Rooyen",20,28,1.4
"Max King",11,28,2.54545454545455
"Michael Frederick",19,26,1.36842105263158
"Brent Daniels",20,26,1.3
"Tyson Stengle",18,26,1.44444444444444
"Jaidyn Stephenson",21,26,1.23809523809524
"Mitchito Owens",23,26,1.1304347826087
"Jack Darling",20,26,1.3
"Luke Pedlar",21,25,1.19047619047619
"Matt Owies",17,25,1.47058823529412
"Will Hayward",23,25,1.08695652173913
"Jesse Motlop",21,24,1.14285714285714
"Levi Casboult",19,24,1.26315789473684
"Kade Chandler",23,24,1.04347826086957
"Dustin Martin",19,24,1.26315789473684
"Josh Rachele",21,23,1.0952380952381
"Cameron Rayner",26,23,0.884615384615385
"Jye Menzie",21,23,1.0952380952381
"Charlie Dixon",14,23,1.64285714285714
"Ben Keays",23,22,0.956521739130435
"Jack Gunston",16,22,1.375
"Luke Jackson",23,22,0.956521739130435
"Errol Gulden",24,22,0.916666666666667
"Rory Lobb",19,22,1.15789473684211
"Ash Johnson",15,21,1.4
"Jake Stringer",17,21,1.23529411764706
"Bradley Close",21,21,1
"Ben Ainsworth",21,21,1
"Connor Rozee",25,21,0.84
"Jade Gresham",23,21,0.91304347826087
"Hayden McLean",22,21,0.954545454545455
"Daniel McStay",13,20,1.53846153846154
"Cameron Zurhaar",16,20,1.25
"Nick Daicos",22,19,0.863636363636364
"Peter Wright",10,19,1.9
"Callum Brown",19,19,1
"Malcolm Rosas",17,19,1.11764705882353
"Alex N-Bullen",25,19,0.76
"Tim Taranto",23,19,0.826086956521739
"Anthony Caminiti",18,19,1.05555555555556
"Lance Franklin",13,19,1.46153846153846
"Marcus Bontempelli",23,19,0.826086956521739
"Jordan De Goey",21,18,0.857142857142857
"Archie Perkins",23,18,0.782608695652174
"Jake Melksham",10,18,1.8
"Darcy B-Jones",22,18,0.818181818181818
"Riley Thilthorpe",20,17,0.85
"Jack Martin",13,17,1.30769230769231
"Beau McCreery",25,17,0.68
"Mason Cox",19,17,0.894736842105263
"Nicholas Martin",23,17,0.739130434782609
"Sam Sturt",13,17,1.30769230769231
"Dylan Moore",23,17,0.739130434782609
"Paul Curtis",20,17,0.85
"Josh Daicos",26,16,0.615384615384615
"Sam Switkowski",21,16,0.761904761904762
"Joshua Kelly",22,16,0.727272727272727
"Gary Rohan",14,16,1.14285714285714
"Jason H-Francis",24,16,0.666666666666667
"Jamie Cripps",12,16,1.33333333333333
"Timothy English",23,16,0.695652173913043
"Sam Weideman",15,15,1
"Josh Treacy",17,15,0.882352941176471
"Stephen Coniglio",25,15,0.6
"Fergus Greene",11,15,1.36363636363636
"Ollie Lord",13,15,1.15384615384615
"Cooper Sharman",16,15,0.9375
"Mason Wood",24,15,0.625
"Chad Warner",21,15,0.714285714285714
"Jack Silvagni",15,14,0.933333333333333
"David Swallow",23,14,0.608695652173913
"Noah Anderson",23,14,0.608695652173913
